date,portfolio_value,daily_pnl,buy_amount,sell_amount,positions_value
20250311,1000542.1644726997,20.0,0.0,0.0,8470.0
20250312,1000496.1644726997,-46.0,0.0,0.0,8424.0
20250313,1000578.1644726997,82.0,0.0,0.0,8506.0
20250314,1000712.1644726997,134.0,0.0,0.0,8640.0
20250317,1000732.1644726997,20.0,0.0,0.0,8660.0
20250318,1000826.1644726997,94.0,0.0,0.0,8754.0
20250319,1000794.1644726997,-32.0,0.0,0.0,8722.0
20250320,1000614.1644726997,-180.0,0.0,0.0,8542.0
20250321,1000820.1644726997,206.0,0.0,0.0,8748.0
20250324,1001068.1644726997,248.0,0.0,0.0,8996.0
20250325,1001104.1644726997,36.0,0.0,0.0,9032.0
20250326,1001062.1644726997,-42.0,0.0,0.0,8990.0
20250327,1001110.1644726997,48.0,0.0,0.0,9038.0
20250328,1001128.1644726997,18.0,0.0,0.0,9056.0
20250331,1001164.1644726997,36.0,0.0,0.0,9092.0
20250401,1001098.1644726997,-66.0,0.0,0.0,9026.0
20250402,1001106.1644726997,8.0,0.0,0.0,9034.0
20250403,1001142.1644726997,36.0,0.0,0.0,9070.0
20250407,1000732.1644726997,-410.0,0.0,0.0,8660.0
20250408,1000996.1644726997,264.0,0.0,0.0,8924.0
20250409,1001046.1644726997,50.0,0.0,0.0,8974.0
20250410,1001034.1644726997,-12.0,0.0,0.0,8962.0
20250411,1001092.1644726997,58.0,0.0,0.0,9020.0
20250414,1000850.1644726997,-242.0,0.0,0.0,8778.0
20250415,1001044.1644726997,194.0,0.0,0.0,8972.0
20250416,1001128.1644726997,84.0,0.0,0.0,9056.0
20250417,1001068.1644726997,-60.0,0.0,0.0,8996.0
20250418,1001132.1644726997,64.0,0.0,0.0,9060.0
20250421,1001110.1644726997,-22.0,0.0,0.0,9038.0
20250422,1001182.1644726997,57.44634300004691,0.0,9110.0,0.0
20250423,1001167.6108156998,0.0,0.0,0.0,0.0
20250424,1001167.6108156998,0.0,0.0,0.0,0.0
20250425,1001167.6108156998,0.0,0.0,0.0,0.0
20250428,1001167.6108156998,0.0,0.0,0.0,0.0
20250429,1001167.6108156998,0.0,0.0,0.0,0.0
20250430,1001167.6108156998,0.0,0.0,0.0,0.0
20250506,1001167.6108156998,0.0,0.0,0.0,0.0
20250507,1001167.6108156998,0.0,0.0,0.0,0.0
20250508,1001167.6108156998,0.0,0.0,0.0,0.0
20250509,1001167.6108156998,0.0,0.0,0.0,0.0
20250512,1001167.6108156998,0.0,0.0,0.0,0.0
20250513,1001167.6108156998,0.0,0.0,0.0,0.0
20250514,1001167.6108156998,0.0,0.0,0.0,0.0
20250515,1001167.6108156998,0.0,0.0,0.0,0.0
20250516,1001167.6108156998,0.0,0.0,0.0,0.0
20250519,1001167.6108156998,0.0,0.0,0.0,0.0
20250520,1001167.6108156998,0.0,0.0,0.0,0.0
20250521,1001167.6108156998,0.0,0.0,0.0,0.0
20250522,1001167.6108156998,0.0,0.0,0.0,0.0
20250523,1001167.6108156998,0.0,0.0,0.0,0.0
