日期,时间,合约代码,最新价,仓位,多/空,持仓成本价,市值,累计盈亏
2022-09-15,15:30:00,601318.SS,45.090,400,多,43.273,18036.000,726.760
2022-09-15,15:30:00,600036.SS,36.010,500,多,35.163,18005.000,423.650
2022-09-16,15:30:00,000651.SZ,34.590,300,多,29.767,10377.000,1447.020
2022-09-16,15:30:00,601318.SS,43.930,400,多,43.273,17572.000,262.760
2022-09-16,15:30:00,600036.SS,34.950,500,多,35.163,17475.000,-106.350
2022-09-19,15:30:00,000651.SZ,34.460,300,多,29.767,10338.000,1408.020
2022-09-19,15:30:00,601318.SS,43.930,400,多,43.273,17572.000,262.760
2022-09-19,15:30:00,600036.SS,35.090,500,多,35.163,17545.000,-36.350
2022-09-20,15:30:00,000651.SZ,34.200,300,多,29.767,10260.000,1330.020
2022-09-20,15:30:00,601318.SS,43.240,400,多,43.273,17296.000,-13.240
2022-09-20,15:30:00,600036.SS,34.540,500,多,35.163,17270.000,-311.350
2022-09-21,15:30:00,000651.SZ,34.350,300,多,29.767,10305.000,1375.020
2022-09-21,15:30:00,601318.SS,43.150,400,多,43.273,17260.000,-49.240
2022-09-21,15:30:00,600036.SS,34.410,500,多,35.163,17205.000,-376.350
2022-09-22,15:30:00,000651.SZ,33.120,300,多,29.767,9936.000,1006.020
2022-09-22,15:30:00,601318.SS,42.480,400,多,43.273,16992.000,-317.240
2022-09-22,15:30:00,600036.SS,34.170,500,多,35.163,17085.000,-496.350
2022-09-23,15:30:00,000651.SZ,33.080,300,多,29.767,9924.000,994.020
2022-09-23,15:30:00,601318.SS,43.020,400,多,43.273,17208.000,-101.240
2022-09-23,15:30:00,600036.SS,34.360,500,多,35.163,17180.000,-401.350
2022-09-26,15:30:00,000651.SZ,32.860,300,多,29.767,9858.000,928.020
2022-09-26,15:30:00,601318.SS,42.490,400,多,43.273,16996.000,-313.240
2022-09-26,15:30:00,600036.SS,33.950,500,多,35.163,16975.000,-606.350
2022-09-27,15:30:00,000651.SZ,33.450,300,多,29.767,10035.000,1105.020
2022-09-27,15:30:00,601318.SS,42.440,400,多,43.273,16976.000,-333.240
2022-09-27,15:30:00,600036.SS,33.900,500,多,35.163,16950.000,-631.350
2022-09-28,15:30:00,000651.SZ,33.000,300,多,29.767,9900.000,970.020
2022-09-28,15:30:00,601318.SS,41.890,400,多,43.273,16756.000,-553.240
2022-09-28,15:30:00,600036.SS,33.670,500,多,35.163,16835.000,-746.350
2022-09-29,15:30:00,000651.SZ,32.550,300,多,29.767,9765.000,835.020
